,character,freq,meaning,on,kun,nanori
80,茨,1203,"['briar', 'thorn']","['シ', 'ジ']","['いばら', 'かや', 'くさぶき']","['あし', 'えばら', 'ばら', 'まつ', 'まん']"
81,芋,2418,['potato'],['ウ'],['いも'],[]
82,鰯,,"['sardine', '(kokuji)']",[],['いわし'],[]
83,允,2358,"['license', 'sincerity', 'permit']",['イン'],"['じょう', 'まこと.に', 'ゆるす']","['まこと', 'のぶ', 'まさ', 'みつ', 'すけ', 'よし', 'ちか', 'とも']"
84,印,682,"['stamp', 'seal', 'mark', 'imprint', 'symbol', 'emblem', 'trademark', 'evidence', 'souvenir', 'India']",['イン'],"['しるし', '-じるし', 'しる.す']",[]
85,咽,,"['throat', 'choked', 'smothered', 'stuffy']","['イン', 'エン', 'エツ']","['むせ.ぶ', 'むせ.る', 'のど', 'の.む']",[]
86,員,54,"['employee', 'member', 'number', 'the one in charge']",['イン'],[],"['いな', 'かず']"
87,因,636,"['cause', 'factor', 'be associated with', 'depend on', 'be limited to']",['イン'],"['よ.る', 'ちな.む']",['て']
88,姻,1985,"['matrimony', 'marry']",['イン'],[],[]
89,引,218,"['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to']",['イン'],"['ひ.く', 'ひ.き', 'ひ.き-', '-び.き', 'ひ.ける']","['いな', 'ひき', 'ひけ', 'びき']"
90,飲,969,"['drink', 'smoke', 'take']","['イン', 'オン']","['の.む', '-の.み']",[]
91,淫,,"['lewdness', 'licentiousness']",['イン'],"['ひた.す', 'ほしいまま', 'みだ.ら', 'みだ.れる', 'みだり']",[]
92,胤,,"['descendent', 'issue', 'offspring']",['イン'],['たね'],"['つぎ', 'つぐ', 'かず']"
93,蔭,2166,"['shade', 'shadow', 'backing assistance']","['イン', 'オン']",['かげ'],[]
94,院,150,"['Inst.', 'institution', 'temple', 'mansion', 'school']",['イン'],[],[]
95,陰,1393,"['shade', 'yin', 'negative', 'sex organs', 'secret', 'shadow']",['イン'],"['かげ', 'かげ.る']",[]
96,隠,1089,"['conceal', 'hide', 'cover']","['イン', 'オン']","['かく.す', 'かく.し', 'かく.れる', 'かか.す', 'よ.る']","['お', 'がくし']"
97,韻,2148,"['rhyme', 'elegance', 'tone']",['イン'],[],[]
98,吋,,['inch'],"['トウ', 'ドウ', 'スン']",['インチ'],[]
99,右,602,['right'],"['ウ', 'ユウ']",['みぎ'],"['あき', 'すけ']"
100,宇,883,"['eaves', 'roof', 'house', 'heaven']",['ウ'],[],"['いえ', 'たか', 'ひろ', 'ひろし']"
101,烏,2042,"['crow', 'raven']","['ウ', 'オ']","['からす', 'いずくんぞ', 'なんぞ']",[]
102,羽,748,"['feathers', 'counter for birds, rabbits']",['ウ'],"['は', 'わ', 'はね']","['しゅう', 'ば']"
103,迂,,['roundabout way'],['ウ'],[],[]
104,雨,950,['rain'],['ウ'],"['あめ', 'あま-', '-さめ']",[]
105,卯,2400,"['sign of the hare or rabbit', 'fourth sign of Chinese zodiac', '5-7AM', 'east']","['ボウ', 'モウ']",['う'],"['あきら', 'しげる', 'い']"
106,鵜,2118,['cormorant'],"['テイ', 'ダイ']",['う'],[]
107,窺,,"['lie in wait', 'spy on', 'reconnoiter']",['キ'],"['うかが.う', 'のぞく']",[]
108,丑,2305,"['sign of the ox or cow', '1-3AM', 'second sign of Chinese zodiac']",['チュウ'],['うし'],['ひろ']
109,碓,2364,['pestle'],"['カク', 'タイ']","['たし.か', 'かく.たる']","['う', 'うす']"
110,臼,2048,['mortar'],"['キュウ', 'グ']","['うす', 'うすづ.く']",[]
111,渦,1789,"['whirlpool', 'eddy', 'vortex']",['カ'],['うず'],[]
112,嘘,2235,"['lie', 'falsehood']","['キョ', 'コ']","['うそ', 'ふ.く']",[]
113,唄,2051,"['song', 'ballad']",['バイ'],"['うた', 'うた.う']",[]
114,欝,,"['gloom', 'depression', 'melancholy']","['ウツ', 'ウン']","['うっ.する', 'ふさ.ぐ', 'しげ.る']",[]
115,蔚,,['dense growth'],"['ウツ', 'イ']","['うち', 'おとこよもぎ']",[]
116,鰻,,['eel'],"['マン', 'バン']",['うなぎ'],[]
117,姥,,['old woman'],"['ボ', 'モ']",['うば'],[]
118,厩,,"['barn', 'stable']",['キュウ'],['うまや'],"['まや', 'まら']"
119,浦,977,"['bay', 'creek', 'inlet', 'gulf', 'beach', 'seacoast']",['ホ'],['うら'],[]
120,瓜,2459,['melon'],"['カ', 'ケ']",['うり'],['う']
121,閏,,"['intercalation', 'illegitimate throne']",['ジュン'],['うるう'],[]
122,噂,2298,"['rumor', 'gossip', 'hearsay']",['ソン'],['うわさ'],[]
123,云,,['say'],['ウン'],"['い.う', 'ここに']",[]
124,運,255,"['carry', 'luck', 'destiny', 'fate', 'lot', 'transport', 'progress', 'advance']",['ウン'],['はこ.ぶ'],[]
125,雲,1256,['cloud'],['ウン'],"['くも', '-ぐも']","['き', 'ずも', 'のめ']"
126,荏,2096,"['bean', 'perilla', 'herb', 'soft', 'pliable']","['ジン', 'ニン']",[],['え']
127,餌,2277,"['food', 'bait', 'prey', 'tempting profit']","['ジ', 'ニ']","['え', 'えば', 'えさ', 'もち']",[]
128,叡,,"['intelligence', 'imperial']",['エイ'],['あき.らか'],[]
129,営,303,"['occupation', 'camp', 'perform', 'build', 'conduct (business)']",['エイ'],"['いとな.む', 'いとな.み']",[]
130,嬰,,"['sharp (music)', 'baby']",['エイ'],"['ふ.れる', 'みどりご', 'あかご']",[]
131,影,464,"['shadow', 'silhouette', 'phantom']",['エイ'],['かげ'],[]
132,映,404,"['reflect', 'reflection', 'projection']",['エイ'],"['うつ.る', 'うつ.す', 'は.える', '-ば.え']","['あきら', 'え', 'てる']"
133,曳,,"['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to']",['エイ'],['ひ.く'],"['ひき', 'びき']"
134,栄,920,"['flourish', 'prosperity', 'honor', 'glory', 'splendor']","['エイ', 'ヨウ']","['さか.える', 'は.え', '-ば.え', 'は.える', 'え']","['さかえ', 'しげ', 'てる', 'なが', 'ひで', 'よし']"
135,永,846,"['eternity', 'long', 'lengthy']",['エイ'],['なが.い'],"['え', 'と', 'のり', 'ひさ', 'ひさし']"
136,泳,1223,['swim'],['エイ'],['およ.ぐ'],[]
137,洩,,"['leak', 'escape']","['エイ', 'セツ']","['も.らす', 'の.びる', 'も.れる']",[]
138,瑛,2393,"['sparkle of jewelry', 'crystal']",['エイ'],[],"['よう', 'あき', 'あきら', 'てる', 'え']"
139,盈,,"['fullness', 'enough', 'pride', 'satisfy']",['エイ'],"['み.たす', 'み.ちる']",['みつ']
140,穎,,"['heads of grain', 'cleverness']",['エイ'],"['ほさき', 'のぎ']",[]
141,頴,,"['heads of grain', 'cleverness']",['エイ'],"['ほさき', 'のぎ']","['え', 'かい']"
142,英,430,"['England', 'English', 'hero', 'outstanding', 'calyx']",['エイ'],['はなぶさ'],"['あ', 'あい', 'え', 'すぐる', 'はな', 'ひ', 'ひで', 'よし', 'ら']"
143,衛,400,"['defense', 'protection']","['エイ', 'エ']",[],"['もり', 'い', 'まもる']"
144,詠,2000,"['recitation', 'poem', 'song', 'composing']",['エイ'],"['よ.む', 'うた.う']","['うた', 'え', 'ええ']"
145,鋭,1395,"['pointed', 'sharpness', 'edge', 'weapon', 'sharp', 'violent']",['エイ'],['するど.い'],['とし']
146,液,1210,"['fluid', 'liquid', 'juice', 'sap', 'secretion']",['エキ'],[],[]
147,疫,1661,['epidemic'],"['エキ', 'ヤク']",[],[]
148,益,674,"['benefit', 'gain', 'profit', 'advantage']","['エキ', 'ヤク']",['ま.す'],"['まし', 'ます']"
149,駅,724,['station'],['エキ'],[],[]
150,悦,1762,"['ecstasy', 'joy', 'rapture']",['エツ'],"['よろこ.ぶ', 'よろこ.ばす']","['や', 'よし']"
151,謁,,"['audience', 'audience (with king)']",['エツ'],[],[]
152,越,897,"['surpass', 'cross over', 'move to', 'exceed', 'Vietnam']","['エツ', 'オツ']","['こ.す', '-こ.す', '-ご.し', 'こ.える', '-ご.え']","['えち', 'えっ', 'お', 'こえ', 'こし', 'ごえ', 'ごし', 'ごや']"
153,閲,1855,"['review', 'inspection', 'revision']",['エツ'],['けみ.する'],[]
154,榎,1945,"['lotus tree', 'nettle tree', 'hackberry']",['カ'],['えのき'],"['え', 'えの']"
155,厭,,"['get tired of', 'satiate', 'bore', 'dislike', 'disagreeable', 'unwelcome']","['エン', 'オン', 'アン', 'オウ', 'ユウ', 'ヨウ']","['いや', 'あ.きる', 'いと.う', 'おさ.える']",[]
156,円,69,"['circle', 'yen', 'round']",['エン'],"['まる.い', 'まる', 'まど', 'まど.か', 'まろ.やか']","['つぶら', 'のぶ', 'まどか', 'みつ']"
157,園,628,"['park', 'garden', 'yard', 'farm']",['エン'],['その'],"['おん', 'ぞの']"
158,堰,1913,"['dam', 'prevent', 'stop up']",['エン'],"['せき', 'せ.く']",[]
159,奄,2047,"['cover', 'suffocate', 'obstruct']",['エン'],"['おお.う', 'たちまち']",['あま']
160,宴,1675,"['banquet', 'feast', 'party']",['エン'],['うたげ'],"['うた', 'やす']"
161,延,747,"['prolong', 'stretching']",['エン'],"['の.びる', 'の.べる', 'の.べ', 'の.ばす']","['たか', 'のぶ', 'のべ']"
162,怨,2137,"['grudge', 'show resentment', 'be jealous']","['エン', 'オン', 'ウン']","['うら.む', 'うらみ', 'うら.めしい']",[]
163,掩,,"['cover', 'conceal']",['エン'],['おお.う'],[]
164,援,312,"['abet', 'help', 'save']",['エン'],[],[]
165,沿,1121,"['run alongside', 'follow along', 'run along', 'lie along']",['エン'],"['そ.う', '-ぞ.い']",[]
166,演,267,"['performance', 'act', 'play', 'render', 'stage']",['エン'],[],[]
167,炎,1242,"['inflammation', 'flame', 'blaze']",['エン'],['ほのお'],['ぬく']
168,焔,,"['flame', 'blaze']",['エン'],['ほのお'],[]
169,煙,1290,['smoke'],['エン'],"['けむ.る', 'けむり', 'けむ.い']",['たば']
170,燕,2147,['swallow (bird)'],['エン'],"['つばめ', 'つばくら', 'つばくろ']",[]
171,猿,1772,['monkey'],['エン'],['さる'],"['さ', 'さわ', 'ざる', 'まし']"
172,縁,1291,"['affinity', 'relation', 'connection', 'edge', 'border', 'verge', 'brink']","['エン', '-ネン']","['ふち', 'ふちど.る', 'ゆかり', 'よすが', 'へり', 'えにし']",[]
173,艶,2207,"['glossy', 'luster', 'glaze', 'polish', 'charm', 'colorful', 'captivating']",['エン'],"['つや', 'なま.めかしい', 'あで.やか', 'つや.めく', 'なま.めく']","['もろ', 'よし']"
174,苑,2060,"['garden', 'farm', 'park']","['エン', 'オン']","['その', 'う.つ']",['あや']
175,薗,,"['garden', 'yard', 'farm']","['エン', 'オン']",[],['ぞの']
176,遠,887,"['distant', 'far']","['エン', 'オン']",['とお.い'],"['お', 'おに', 'ど', 'どお']"
177,鉛,1710,['lead'],['エン'],['なまり'],[]
178,鴛,,['male mandarin duck'],"['エン', 'オン']","['おし', 'おしどり']",[]
179,塩,1148,['salt'],['エン'],['しお'],[]
180,於,2113,"['at', 'in', 'on', 'as for']","['オ', 'ヨ']","['おい.て', 'お.ける', 'ああ', 'より']",[]
181,汚,908,"['dirty', 'pollute', 'disgrace', 'rape', 'defile']",['オ'],"['けが.す', 'けが.れる', 'けが.らわしい', 'よご.す', 'よご.れる', 'きたな.い']",[]
182,甥,,['nephew'],"['セイ', 'ソウ', 'ショウ']","['おい', 'むこ']",[]
183,凹,2206,"['concave', 'hollow', 'sunken']",['オウ'],"['くぼ.む', 'へこ.む', 'ぼこ']",[]
184,央,582,"['center', 'middle']",['オウ'],[],"['あきら', 'え', 'お', 'さと', 'ちか', 'てる', 'なか', 'ひさ', 'ひろ', 'や']"
185,奥,1018,"['heart', 'interior']",['オウ'],"['おく', 'おく.まる', 'くま']","['お', 'おお', 'おん', 'つ', 'のく']"
186,往,1421,"['journey', 'travel', 'chase away', 'let go', 'going', 'before', 'formerly']",['オウ'],"['い.く', 'いにしえ', 'さき.に', 'ゆ.く']",['みち']
187,応,266,"['apply', 'answer', 'yes', 'OK', 'reply', 'accept']","['オウ', 'ヨウ', '-ノウ']","['あた.る', 'まさに', 'こた.える']","['お', 'たか', 'まさ']"
188,押,789,"['push', 'stop', 'check', 'subdue', 'attach', 'seize', 'weight', 'shove', 'press', 'seal', 'do in spite of']",['オウ'],"['お.す', 'お.し-', 'お.っ-', 'お.さえる', 'おさ.える']","['おし', 'おす', 'おや']"
189,旺,2342,"['flourishing', 'successful', 'beautiful', 'vigorous']","['オウ', 'キョウ', 'ゴウ']","['かがや.き', 'うつくし.い', 'さかん']",[]
190,横,480,"['sideways', 'side', 'horizontal', 'width', 'woof', 'unreasonable', 'perverse']",['オウ'],['よこ'],[]
191,欧,421,['Europe'],['オウ'],"['うた.う', 'は.く']","['おお', 'ひろ']"
192,殴,1622,"['assault', 'hit', 'beat', 'thrash']",['オウ'],['なぐ.る'],[]
193,王,684,"['king', 'rule', 'magnate']","['オウ', '-ノウ']",[],"['おお', 'おおきみ', 'わ']"
194,翁,2064,['venerable old man'],['オウ'],['おきな'],"['お', 'おな']"
195,襖,,['opaque sliding door'],['オウ'],"['ふすま', 'あお']",[]
196,鴬,,"['nightingale', 'bush warbler']",['オウ'],['うぐいす'],[]
197,鴎,2187,['seagull'],['オウ'],['かもめ'],[]
198,黄,1240,['yellow'],"['コウ', 'オウ']","['き', 'こ-']","['うい', 'れい']"
199,岡,463,"['mount', 'hill', 'knoll']",['コウ'],['おか'],[]
200,沖,929,"['open sea', 'offing', 'rise high into sky']",['チュウ'],"['おき', 'おきつ', 'ちゅう.する', 'わく']",[]
201,荻,1630,"['reed', 'rush']",['テキ'],['おぎ'],[]
202,億,716,"['hundred million', '10**8']",['オク'],[],['お']
203,屋,616,"['roof', 'house', 'shop', 'dealer', 'seller']",['オク'],['や'],['た']
204,憶,1324,"['recollection', 'think', 'remember']",['オク'],[],[]
205,臆,,"['timidity', 'heart', 'mind', 'fear', 'cowardly']","['オク', 'ヨク']","['むね', 'おくする']",[]
206,桶,2210,"['tub', 'bucket']","['ヨウ', 'トウ']",['おけ'],[]
207,牡,2155,['male'],"['ボ', 'ボウ']","['おす', 'お-', 'おん-']",[]
208,乙,1841,"['the latter', 'duplicate', 'strange', 'witty', 'fishhook radical (no. 5)']","['オツ', 'イツ']","['おと-', 'きのと']",[]
209,俺,1946,"['I', 'myself']",['エン'],"['おれ', 'われ']",[]
210,卸,1520,['wholesale'],['シャ'],"['おろ.す', 'おろし', 'おろ.し']",[]
211,恩,1418,"['grace', 'kindness', 'goodness', 'favor', 'mercy', 'blessing', 'benefit']",['オン'],[],['めぐみ']
212,温,838,['warm'],['オン'],"['あたた.か', 'あたた.かい', 'あたた.まる', 'あたた.める', 'ぬく']","['あつ', 'あつし', 'なお', 'はる', 'ゆ', 'ゆたか']"
213,穏,1535,"['calm', 'quiet', 'moderation']",['オン'],['おだ.やか'],[]
214,音,491,"['sound', 'noise']","['オン', 'イン', '-ノン']","['おと', 'ね']","['お', 'と']"
215,下,97,"['below', 'down', 'descend', 'give', 'low', 'inferior']","['カ', 'ゲ']","['した', 'しも', 'もと', 'さ.げる', 'さ.がる', 'くだ.る', 'くだ.り', 'くだ.す', '-くだ.す', 'くだ.さる', 'お.ろす', 'お.りる']","['さか', 'しと']"
216,化,89,"['change', 'take the form of', 'influence', 'enchant', 'delude', '-ization']","['カ', 'ケ']","['ば.ける', 'ば.かす', 'ふ.ける', 'け.する']",[]
217,仮,1039,"['sham', 'temporary', 'interim', 'assumed (name)', 'informal']","['カ', 'ケ']","['かり', 'かり-']",[]
218,何,340,['what'],['カ'],"['なに', 'なん', 'なに-', 'なん-']",['あが']
219,伽,2323,"['nursing', 'attending', 'entertainer']","['カ', 'ガ', 'キャ', 'ギャ']",['とぎ'],[]
220,価,250,"['value', 'price']","['カ', 'ケ']",['あたい'],[]
221,佳,1643,"['excellent', 'beautiful', 'good', 'pleasing', 'skilled']",['カ'],[],"['けい', 'よし']"
222,加,130,"['add', 'addition', 'increase', 'join', 'include', 'Canada']",['カ'],"['くわ.える', 'くわ.わる']",[]
223,可,314,"['can', 'passable', ""mustn't"", 'should not', 'do not']","['カ', 'コク']","['-べ.き', '-べ.し']",['よし']
224,嘉,1553,"['applaud', 'praise', 'esteem', 'happy', 'auspicious']",['カ'],"['よみ.する', 'よい']","['ひろ', 'よし', 'よしみ', 'かず', 'よ']"
225,夏,659,['summer'],"['カ', 'ガ', 'ゲ']",['なつ'],[]
226,嫁,1581,"['marry into', 'bride']",['カ'],"['よめ', 'とつ.ぐ', 'い.く', 'ゆ.く']",[]
227,家,133,"['house', 'home', 'family', 'professional', 'expert', 'performer']","['カ', 'ケ']","['いえ', 'や', 'うち']","['あり', 'え', 'く', 'つか', 'べ']"
228,寡,2035,"['widow', 'minority', 'few']",['カ'],[],[]
229,科,531,"['department', 'course', 'section']",['カ'],[],['しな']
230,暇,1386,"['spare time', 'rest', 'leisure', 'time', 'leave of absence']",['カ'],"['ひま', 'いとま']",[]
231,果,258,"['fruit', 'reward', 'carry out', 'achieve', 'complete', 'end', 'finish', 'succeed']",['カ'],"['は.たす', 'はた.す', '-は.たす', 'は.てる', '-は.てる', 'は.て']",['み']
232,架,1555,"['erect', 'frame', 'mount', 'support', 'shelf', 'construct']",['カ'],"['か.ける', 'か.かる']",[]
233,歌,519,"['song', 'sing']",['カ'],"['うた', 'うた.う']",[]
234,河,663,['river'],['カ'],['かわ'],"['かっ', 'こ', 'こう']"
235,火,574,['fire'],['カ'],"['ひ', '-び', 'ほ-']",[]
236,珂,2227,['jewel'],['カ'],[],['が']
237,禍,2010,"['calamity', 'misfortune', 'evil', 'curse']",['カ'],['わざわい'],[]
238,禾,,['two-branch tree radical (no. 115)'],['カ'],['いね'],[]
239,稼,1264,"['earnings', 'work', 'earn money']",['カ'],['かせ.ぐ'],[]
